
か[編集]
かあ[編集]
香月藍（かつき あい）（2006年）（引退）
香月あんな（かつき あんな）（1996年）（引退）
華月まなか（かつき まなか）（2009年）
香月悠梨（かつき ゆうり）（2010年）（引退）
桂菜々子（かつら ななこ）（2008年）
桂川沙弓（かつらがわ さゆみ）（引退）
桂川しおり（かつらがわしおり）（1992年）（引退）
桂木奈々（かつらぎ なな）（1987年）（引退）
桂木麻耶（かつらぎ まや）（2013年）
桂木麻也子（かつらぎ まやこ）（1987年）（引退）
桂木美雪（かつらぎ みゆき）（1989年）（引退）
桂木ゆみ（かつらぎ ゆみ）（1996年）（引退）
桂木レイカ（かつらぎ れいか）（2004年）（引退）
加藤あつみ（かとう あつみ）（2007年）
加藤咲良（かとう さくら）（2003年）（引退）
加藤はるな（かとう はるな）（2007年）
加藤ツバキ（かとう つばき）（2006年）＝夏樹カオル
加藤ディーナ（かとう でぃーな）（2010年）
加藤はる希（かとう はるき）（2009年）=HARUKI、希咲エマ
加藤なお（かとう なお）（2008年）
加藤なつみ（かとう なつみ）（2009年）
加藤ひろみ（かとう ひろみ）（2004年）（引退）
加藤麻依（かとう まい）（2002年）（引退）
加藤愛美（かとう まなみ）（2004年）（引退）
加藤まみ（かとう まみ）（2006年）
加藤まりな（かとう まりな）（2002年）
加藤みちる（かとう みちる）（1995年）（引退）
かとうみゆき（かとう みゆき）（1986年）（引退）
加藤めぐみ（かとう めぐみ）（1993年）（引退）
加藤ゆめ（かとう ゆめ）（2008年）＝叶夢
加藤由紀子（かとう ゆきこ）（2001年）
かとう由梨（かとう ゆり）（1993年）（引退）
加藤ゆりあ（かとう ゆりあ）（2002年）（引退）＝加藤あき
加藤リナ（かとう りな）（2010年）
加藤りょう（かとう りょう）（1999年）（引退）
加藤レイナ（かとう れいな）（2007年）
加藤レイラ（かとう れいら）（2005年）（引退）
門田まつり（かどた まつり）（2008年）
かとりこのみ（かとり このみ）（2000年）（引退）
香取さやか（かとり さやか）（1996年）（引退）
香取歩美（かとり ふみ）（1988年）（引退）
かな[編集]
かないかほ（かない かほ）（引退）
佳苗るか（かなえ るか）（2012年）
叶咲ゆめ（かなさき ゆめ）（2011年）
金沢文子（かなざわ ぶんこ）（1997年）
かなた美緒（かなた みお）（2010年）＝舞雪
かなたゆう（かなた ゆう）（2006年）（引退）
かなでゆき（かなで ゆき）（2012年）
我那覇あや（がなは あや）（2005年）（引退）＝要愛子
我那覇レイ（がなは れい）（2007年）
かなみ芽梨（かなみ めいり）（2010年）
香波りょう（かなみ りょう）（2015年）
要涼（かなめ りょう）（2005年）（引退）
金森美奈（かなもり みな）（2009年）＝里崎あかね
金井みお（かねい みお）（2014年）
金城アンナ（かねしろ あんな）（2004年）（引退）
金子リサ（かねこ りさ）（2001年）
華野うさぎ（かの うさぎ）（1997年）（引退）
加納綾子（かのう あやこ）（2011年）
叶志穂（かのう しほ）（2008年）
叶樹梨（かのう じゅり）（2005年）
叶順子（かのう じゅんこ）（1988年）（引退）
叶順子（かのう じゅんこ）（1988年）（引退）
加納瑞穂（かのう みずほ）（1996年）＝草凪純
狩野瞳（かのう ひとみ）
叶不二子（かのう ふじこ）（2001年）（引退）＝蒲川リサ
加納美穂（かのう みほ）（引退）
叶桃花（かのう ももか）（2009年）
叶結香里（かのう ゆかり）（2001年）
叶夢（かのう ゆめ）（2008年）＝加藤ゆめ
加納妖子（かのう ようこ）（1988年）
叶麗華（かのう れいか）（1986年）（引退）
叶麗美（かのう れみ）（2001年）（引退）
香乃華（かのか）（2007年）
kanon（かのん）（2005年）（引退）
かのんこゆる（かのんこゆる）（2014年）
かは[編集]
加橋梨奈（かはし りな）（1986年）（引退）
華原ありさ（かはら ありさ）（1997年）（引退）
華原希（かはら のぞみ）（2009年）
華原美奈子（かはら みなこ）（2014年）
花穂（かほ）（2013年）
かま[編集]
蒲川リサ（かまかわ りさ）（2001年）（引退）＝叶不二子
神尾舞（かみお まい）（2014年）＝柚原綾
